Wall time,Step,Value
1759860432.7366269,100,0.0
1759860576.455761,140,0.0
1759860648.7153435,160,0.0
1759860719.7836242,180,0.0
1759861161.6012142,300,1.0
1759861234.4066713,320,1.0
1759861448.4884331,380,1.0
1759861524.0519414,400,1.5
1759861740.2339914,460,1.5
1759861811.6445177,480,1.5
1759861885.0625017,500,1.7999999523162842
1759861992.6158626,540,1.7999999523162842
1759862034.5396686,560,1.7999999523162842
1759862172.5490048,620,2.0
1759862244.6760976,640,2.0
1759862382.3436677,680,2.0
1759862668.6718903,760,2.142857074737549
1759862742.1073294,780,2.142857074737549
1759862880.240659,820,2.25
1759862952.0434706,840,2.25
1759863025.5152242,860,2.25
1759863094.8466842,880,2.25
1759863164.8676755,900,2.3333332538604736
1759863669.8697405,1040,2.4000000953674316
1759863740.7420332,1060,2.4000000953674316
1759863811.247245,1080,2.4000000953674316
1759863882.2073758,1100,2.454545497894287
1759863952.8460221,1120,2.454545497894287
1759864024.0699928,1140,2.454545497894287
1759864168.750422,1180,2.454545497894287
1759864239.8567817,1200,2.5
1759864372.1942523,1240,2.5
1759864498.378529,1300,2.538461446762085
1759864541.416371,1320,2.538461446762085
1759864573.3805077,1340,2.538461446762085
1759864589.1740983,1360,2.538461446762085
1759864620.737229,1400,2.5714285373687744
1759864635.9271078,1420,2.5714285373687744
1759864651.588945,1440,2.5714285373687744
1759864667.350449,1460,2.5714285373687744
1759864698.6837316,1500,2.5999999046325684
1759864714.0168946,1520,2.5999999046325684
1759864877.2273998,1615,3.0
1759864908.944999,1655,3.0
1759864940.6113799,1695,3.0
1759864971.9313238,1735,3.0
1759864987.3612003,1755,3.0
1759865018.8162372,1795,3.0
1759865034.5039265,1815,3.0
1759865066.048905,1855,3.0
1759865081.7173648,1875,3.0
1759865128.4890256,1935,3.0
1759865143.925793,1955,3.0
1759865220.7733214,2055,3.0
1759865282.2108576,2135,3.0
1759865297.4104,2155,3.0
1759865343.7748914,2215,3.0
1759865390.220198,2275,3.0
1759865405.6226375,2295,3.0
1759865436.4704914,2335,3.125
1759865451.932705,2355,3.125
1759865513.4812422,2435,3.222222328186035
1759865544.1487372,2475,3.222222328186035
1759865620.9680061,2575,3.4000000953674316
1759865682.2155757,2655,3.6363637447357178
1759865697.612008,2675,3.6363637447357178
1759865728.583919,2715,3.9166667461395264
1759865743.8492334,2735,3.9166667461395264
1759865759.2285676,2755,3.9166667461395264
1759865774.7285037,2775,3.9166667461395264
1759865790.091898,2795,3.9166667461395264
1759865820.6715658,2835,4.230769157409668
1759865851.727802,2875,4.230769157409668
1759865867.0643792,2895,4.230769157409668
1759865958.927922,3015,4.933333396911621
1759865974.3436646,3035,4.933333396911621
1759866005.258843,3075,4.933333396911621
1759866020.7088995,3095,4.933333396911621
1759866233.6551144,3250,12.0
1759866345.231309,3390,12.5
1759866376.862025,3430,13.0
1759866392.6023529,3450,13.0
1759866424.2042484,3490,13.0
1759866439.9247928,3510,13.5
1759866455.5046253,3530,13.5
1759866486.9705632,3570,13.5
1759866550.349178,3650,14.0
1759866566.3540103,3670,14.0
1759866582.2327003,3690,14.0
1759866629.3967009,3750,14.5
1759866645.1891897,3770,14.5
1759866660.7845507,3790,14.5
1759866676.547653,3810,15.0
1759866707.3833091,3850,15.0
1759866722.9290333,3870,15.0
1759866754.1344259,3910,15.5
1759866769.6402466,3930,15.5
1759866784.932302,3950,15.5
1759866800.5181127,3970,15.5
1759866847.4406037,4030,16.0
1759866862.988592,4050,16.0
1759866878.7570622,4070,16.0
1759866894.3348987,4090,16.0
1759866941.2191834,4150,16.5
1759866987.980182,4210,17.0
1759867003.4545343,4230,17.0
1759867019.046546,4250,17.0
1759867050.3330522,4290,17.0
1759867065.8910155,4310,17.5
1759867081.1596217,4330,17.5
1759867096.4254534,4350,17.5
1759867127.2090194,4390,17.5
1759867157.981722,4430,18.0
1759867188.6945179,4470,18.0
1759867219.8136656,4510,18.5
1759867250.3695612,4550,18.5
1759867266.061991,4570,18.5
1759867297.1605122,4610,19.0
1759867312.5454693,4630,19.0
1759867327.9677172,4650,19.0
1759867460.5120816,4705,27.0
1759867476.2226388,4725,27.0
1759867508.0009816,4765,27.0
1759867524.2204192,4785,27.0
1759867588.8227158,4865,27.5
1759867637.1874166,4925,28.0
1759867685.084811,4985,28.0
1759867701.1528885,5005,28.5
1759867716.8033383,5025,28.5
1759867732.6840904,5045,28.5
1759867748.646677,5065,28.5
1759867780.7319677,5105,29.0
1759867796.5251842,5125,29.0
1759867829.9133744,5165,29.0
1759867845.7738564,5185,29.0
1759867861.8388205,5205,29.5
1759867877.5028362,5225,29.5
1759867956.3899722,5325,29.85714340209961
1759867971.9993954,5345,29.85714340209961
1759867987.980597,5365,29.85714340209961
1759868035.4092157,5425,30.125
1759868051.2134511,5445,30.125
1759868067.1562073,5465,30.125
1759868083.2396524,5485,30.125
1759868114.959781,5525,30.44444465637207
1759868240.8649204,5685,30.799999237060547
1759868256.7192812,5705,31.18181800842285
1759868303.2712767,5765,31.18181800842285
1759868318.9834526,5785,31.18181800842285
1759868335.0103693,5805,31.58333396911621
1759868366.107559,5845,31.58333396911621
1759868397.579449,5885,31.58333396911621
1759868429.1563065,5925,32.0
1759868444.8053243,5945,32.0
1759868476.454102,5985,32.0
1759868507.7513149,6025,32.42856979370117
1759868523.2347317,6045,32.42856979370117
1759868554.4480793,6085,32.42856979370117
1759868632.718442,6185,32.86666488647461
1759868648.5857477,6205,33.3125
1759868810.4125488,6300,40.0
1759868826.0596578,6320,40.0
1759868841.8149416,6340,40.0
1759868920.637832,6440,40.0
1759868951.677957,6480,40.0
1759868967.4341502,6500,40.0
1759868982.8608246,6520,40.0
1759868998.2410634,6540,40.0
1759869045.2408745,6600,40.25
1759869060.425458,6620,40.25
1759869091.452689,6660,40.25
1759869107.1914175,6680,40.25
1759869137.974453,6720,40.400001525878906
1759869153.5323164,6740,40.400001525878906
1759869200.5081058,6800,40.66666793823242
1759869231.1678624,6840,40.66666793823242
1759869308.5567002,6940,40.85714340209961
1759869324.045214,6960,40.85714340209961
1759869339.5207744,6980,40.85714340209961
1759869355.3959215,7000,41.0
1759869370.724284,7020,41.0
1759869433.0695417,7100,41.22222137451172
1759869448.3327456,7120,41.22222137451172
1759869479.3469186,7160,41.22222137451172
1759869525.9106836,7220,41.400001525878906
1759869541.3505147,7240,41.400001525878906
1759869556.7950337,7260,41.400001525878906
1759869572.2612453,7280,41.400001525878906
1759869603.3689668,7320,41.54545593261719
1759869618.854638,7340,41.54545593261719
1759869634.3221014,7360,41.54545593261719
1759869665.4100263,7400,41.66666793823242
1759869680.6316044,7420,41.66666793823242
1759869696.0228324,7440,41.66666793823242
1759869711.39188,7460,41.66666793823242
1759869742.505951,7500,41.769229888916016
1759869757.7698095,7520,41.769229888916016
1759869788.5485454,7560,41.769229888916016
1759869819.927858,7600,41.92856979370117
1759869835.038379,7620,41.92856979370117
1759869850.3783576,7640,41.92856979370117
1759869865.923916,7660,41.92856979370117
1759869881.4841056,7680,41.92856979370117
1759869896.9888036,7700,42.13333511352539
1759869912.1603231,7720,42.13333511352539
1759870121.7575395,7875,45.0
1759870137.4701746,7895,45.0
1759870168.8061972,7935,45.0
1759870184.5063434,7955,45.0
1759870246.9897232,8035,45.0
1759870294.1148098,8095,45.0
1759870309.720449,8115,45.25
1759870356.509553,8175,45.25
1759870372.4995706,8195,45.25
1759870388.2960823,8215,45.599998474121094
1759870403.9131021,8235,45.599998474121094
1759870419.4810867,8255,45.599998474121094
1759870435.2060652,8275,45.599998474121094
1759870450.8551068,8295,45.599998474121094
1759870466.4518046,8315,46.0
1759870481.8941646,8335,46.0
1759870497.3851054,8355,46.0
1759870513.1249804,8375,46.0
1759870544.1258655,8415,46.28571319580078
1759870559.637274,8435,46.28571319580078
1759870590.6360264,8475,46.28571319580078
1759870621.535876,8515,46.5
1759870652.999771,8555,46.5
1759870668.4994197,8575,46.5
1759870715.0184543,8635,46.66666793823242
1759870730.4546895,8655,46.66666793823242
1759870745.925759,8675,46.66666793823242
1759870761.460285,8695,46.66666793823242
1759870808.0867345,8755,46.79999923706055
1759870823.5358741,8775,46.79999923706055
1759870854.6664398,8815,46.90909194946289
1759870869.9956563,8835,46.90909194946289
1759870916.3989074,8895,46.90909194946289
1759870931.8321598,8915,47.0
1759870994.2859707,8995,47.0
1759871009.8070412,9015,47.07692337036133
1759871056.6347256,9075,47.07692337036133
1759871072.217826,9095,47.07692337036133
1759871087.7371612,9115,47.14285659790039
1759871103.365478,9135,47.14285659790039
1759871118.9249353,9155,47.14285659790039
1759871134.4283307,9175,47.14285659790039
1759871150.0554712,9195,47.14285659790039
1759871165.9503822,9215,47.266666412353516
1759871196.9788961,9255,47.266666412353516
1759871212.4904866,9275,47.266666412353516
1759871228.0436685,9295,47.266666412353516
1759871243.6715944,9315,47.375
1759871454.3439085,9470,50.0
1759871470.0720916,9490,50.0
1759871485.829085,9510,50.5
1759871501.6734405,9530,50.5
1759871517.3874269,9550,50.5
1759871549.0872707,9590,50.5
1759871580.5208204,9630,50.66666793823242
1759871611.834992,9670,50.66666793823242
1759871627.3911822,9690,50.66666793823242
1759871643.1500406,9710,50.75
1759871674.246726,9750,50.75
1759871689.997151,9770,50.75
1759871705.6237154,9790,50.75
1759871736.5109894,9830,50.79999923706055
1759871767.7182217,9870,50.79999923706055
1759871783.1219814,9890,50.79999923706055
1759871829.7262115,9950,50.83333206176758
1759871845.3172019,9970,50.83333206176758
1759871892.4233465,10030,50.85714340209961
1759871907.9253993,10050,50.85714340209961
1759871923.5806525,10070,50.85714340209961
1759871939.2245862,10090,50.85714340209961
1759871955.0048974,10110,50.875
1759871970.4282906,10130,50.875
1759871985.9669266,10150,50.875
1759872017.7020442,10190,50.875
1759872033.316273,10210,50.88888931274414
1759872048.8550663,10230,50.88888931274414
1759872064.5320768,10250,50.88888931274414
1759872096.2249427,10290,50.88888931274414
1759872143.4121509,10350,50.900001525878906
1759872159.4454188,10370,50.900001525878906
1759872206.5387099,10430,50.90909194946289
1759872253.5894217,10490,50.90909194946289
1759872269.3515196,10510,50.91666793823242
1759872284.8666763,10530,50.91666793823242
1759872331.474277,10590,50.91666793823242
1759872362.7130857,10630,50.92307662963867
1759872378.2400692,10650,50.92307662963867
1759872394.0523374,10670,50.92307662963867
1759872409.5972366,10690,50.92307662963867
1759872425.0651448,10710,50.92856979370117
1759872440.3082647,10730,50.92856979370117
1759872455.9145684,10750,50.92856979370117
1759872486.9551053,10790,50.92856979370117
1759872502.6480427,10810,50.93333435058594
1759872518.1672094,10830,50.93333435058594
1759872534.043185,10850,50.93333435058594
1759872549.634206,10870,50.93333435058594
1759872666.0729473,10905,51.0
